,상호,주소,전화번호
819,서울성북구월곡점,서울특별시성북구오패산로46,02-943-4492
820,서울성북구장위2동점,서울특별시성북구돌곶이로27길59-3,02-913-9290
821,서울성북구정릉점,서울특별시성북구보국문로90,02-943-9592
822,서울성북구종암점[B],서울성북구종암로19길37,02-921-2900
823,서울송파구가락2점,서울특별시송파구송이로19길5,02-408-4482
824,서울송파구가락점,서울특별시송파구오금로44길20,02-407-4774
825,서울송파구거여점,서울특별시송파구성내천로136,02-400-3615
826,서울송파구문정장지점,서울특별시송파구새말로147,02-400-8213
827,서울송파구삼전점,서울특별시송파구백제고분로27길17,02-423-4482
828,서울송파구석촌점,서울특별시송파구가락로55,02-424-8060
829,서울송파구송파방이2점,서울송파구가락로36길15,02-421-0089
830,서울송파구오금점[B],서울특별시송파구마천로184,02-6407-7285
831,서울송파구위례점,서울특별시송파구위례광장로193제1층제1-8호,02-403-4479
832,서울송파구잠실1점,서울특별시송파구올림픽로35가길11,02-418-4492
833,서울송파구잠실본점,서울특별시송파구백제고분로7길24-27,02-423-4374
834,서울송파구잠실새내역점,서울특별시송파구올림픽로119,02-415-4479
835,서울송파구풍납점,서울송파구풍성로26길51,02-473-4473
836,서울양천구목4동점,서울양천구목동중앙서로23,02-2644-4492
837,서울양천구신월1동점,서울양천구가로공원로148,02-2690-8592
838,서울양천구신월2점,서울양천구오목로77,02-2693-4492
839,서울양천구신월점,서울특별시양천구신월로99,02-2602-4479
840,서울양천구신정1동점,서울양천구은행정로16-1,02-2652-1212
841,서울양천구신정점,서울양천구신목로12길17,02-2644-9919
842,서울양천구양천구청점,서울양천구목동남로2길15,02-2655-1855
843,서울양천구화곡3동점,서울양천구월정로42길9,02-2692-4492
844,서울영등포구당산점,서울특별시영등포구양산로127-1,02-2634-9992
845,서울영등포구대림3점,서울특별시영등포구도림로53길34-1,02-843-1009
846,서울영등포구대림점[B],서울영등포구디지털로398,02-842-8444
847,서울영등포구문래점,서울특별시영등포구도림로143길32,02-2634-9245
848,서울영등포구신길점,서울특별시영등포구가마산로404,02-844-4492
849,서울영등포구신풍역점,서울특별시영등포구대방천로222-1,02-834-4479
850,서울영등포구양평점,서울특별시영등포구영등포로11길16,02-2636-9244
851,서울영등포구여의도2호점,서울특별시영등포구국제금융로7길32,02-780-9244
852,서울영등포구여의도점,서울특별시영등포구의사당대로108,02-782-9244
853,서울영등포구영등포점,서울특별시영등포구영신로9길3-1,02-842-4492
854,서울영등포구영등포푸르지오점,서울특별시영등포구양산로177,02-842-4493
855,서울용산구보광점,서울용산구보광로52-1,02-749-4479
856,서울용산구숙대점,서울특별시용산구청파로333,02-718-4479
857,서울용산구원효점,서울특별시용산구새창로14길22,02-707-0983
858,서울용산구이촌점,서울특별시용산구이촌로46,02-712-4482
859,서울용산구이태원점,서울특별시용산구녹사평대로40나길9,02-792-4479
860,서울용산구후암점,서울특별시용산구한강대로104라길39,02-756-6225
861,서울은평구갈현1점,서울은평구연서로29길30-5,02-354-4492
862,서울은평구구산점,서울특별시은평구갈현로123,02-354-8833
863,서울은평구녹번점,서울특별시은평구은평로20길8,02-358-4482
864,서울은평구대조점,서울은평구통일로73길28-1,02-382-1492
865,서울은평구불광점,서울특별시은평구불광로197,02-355-1192
866,서울은평구신사점,서울특별시은평구증산로17길8-1,02-307-4472
867,서울은평구역촌점,서울특별시은평구역말로7길3-2,02-359-4472
868,서울은평구응암점,서울특별시은평구응암로286,02-387-3366
869,서울은평구진관내점,서울특별시은평구진관4로17,02-353-8500
870,서울종로구광화문점[B],서울특별시종로구사직로8길20,02-730-9244
871,서울종로구독립문점,서울특별시종로구통일로262,02-737-4492
872,서울종로구종로점,서울종로구수표로26길12파고다빌딩1층,02-2275-0388
873,서울종로구창신점[B],서울특별시종로구지봉로62,02-766-9282
874,서울종로구혜화점,서울특별시종로구명륜길5,02-765-4479
875,서울중구신당2점,서울중구청구로17길77,02-2231-4479
876,서울중구을지로점,서울중구퇴계로51길19,02-2275-9244
877,서울중구중림점,서울특별시중구중림로10,02-365-4479
878,서울중랑구망우점,서울특별시중랑구용마산로493,02-433-4479
879,서울중랑구면목1동점,서울중랑구사가정로49길43,02-437-9202
880,서울중랑구면목2점,서울특별시중랑구망우로30길34,02-434-5999
881,서울중랑구면목3점,서울중랑구용마산로89길16,02-493-4479
882,서울중랑구묵2동점,서울특별시중랑구동일로163길36,02-975-4527
883,서울중랑구상봉1점,서울특별시중랑구봉화산로52길73,02-434-3544
884,서울중랑구신내1점,서울중랑구신내로135,02-3421-9202
885,서울중랑구용마산역점,서울특별시중랑구면목로21길22,02-433-4492
886,서울중랑구중화점,서울중랑구동일로123길91,02-491-4479
887,세종시아름동아름점,세종특별자치시보듬3로95,044-864-9242
888,세종시한솔동세종첫마을점,세종특별자치시누리로59,044-865-9285
889,울산남구달동점,울산남구신정로58번길32,052-269-9282
890,울산남구무거2호점,울산남구삼호로55번길6,052-223-4479
891,울산남구삼산점,울산남구삼산로241번길35-1,052-910-9282
892,울산남구신정점,울산남구월평로58,052-256-4423
893,울산남구야음2점,울산남구신선로71-3,052-258-4479
894,울산남구야음점,울산남구수암로196번길7,052-227-9331
895,울산남구옥동점,울산남구문수로423번길4-37,052-256-1244
896,울산남구울산대점,울산남구대학로43번길16,052-223-9982
897,울산동구남목점,울산동구미포4길38,052-232-4479
898,울산동구방어점,울산동구화잠2길4,052-201-4479
899,울산동구전하점,울산동구진성13길92,052-235-9985
900,울산동구화정점,울산동구월봉8길41,052-236-3330
901,울산북구강동점,울산북구산하동강동산하지구81-10BL퀸스타운101호,052-211-4479
902,울산북구아진점,울산북구가재길82,052-282-4479
903,울산북구양정점,울산북구염포로517,052-283-4479
904,울산북구호계점,울산북구동대8길12,052-293-4479
905,울산북구화봉점,울산북구두부곡14길15,052-287-4479
906,울산울주군구영점,울산울주군범서읍대리1길23-6,052-248-9982
907,울산울주군남창점,울산울주군온양읍연안4길18,052-238-4491
908,울산울주군언양점[B],울산울주군언양읍동부8길12,052-254-4479
909,울산중구다운점,울산중구다운로75,052-222-4479
910,울산중구반구점,울산중구염포로78,052-281-4488
911,울산중구병영점,울산중구동천4길15,052-297-4479
912,울산중구약사점,울산중구구교10길51,052-285-0400
913,울산중구우정점,울산중구유곡로70,052-242-1400
914,울산중구우정혁신점,울산중구종가2길1-2,052-244-4479
915,인천강화군강화1점,인천광역시강화군강화읍강화대로362,032-933-0062
916,인천계양구계산점,인천광역시계양구용마루길20,032-556-8278
917,인천계양구계산중앙점[B],인천계양구계양대로194번길18,032-554-9222
918,인천계양구계양점,인천계양구임학서로18,032-544-8292
919,인천계양구동양점,인천광역시계양구당미1길7,032-547-2592
920,인천계양구작전점,인천광역시계양구주부토로447,032-555-9218
921,인천계양구효성점[B],인천광역시계양구목화밭길26,032-544-1345
922,인천남구문학관교점,인천광역시남구매소홀로576번길5-9,032-428-8892
923,인천남구용현점,인천남구아암대로45번길83-8,032-889-4482
924,인천남구제물포점,인천광역시남구수봉안길13번길2,032-875-8181
925,인천남구주안2점,인천남구인주대로319번길38,032-865-4492
926,인천남구주안역점,인천광역시남구주안로201,032-435-5533
927,인천남구주안점,인천광역시남구인주대로489,032-424-5757
928,인천남구학익점,인천광역시남구소성로175-16,032-862-6565
929,인천남동구간석점[B],인천광역시남동구구월로131번길52,032-441-4479
930,인천남동구구월점,인천남동구용천로27,032-461-9982
931,인천남동구논현점,인천광역시남동구논곡로79,032-446-7590
932,인천남동구논현택지점[B],인천광역시남동구소래역서로10-28,032-433-4479
933,인천남동구만수1점,인천광역시남동구하촌로48,032-471-4492
934,인천남동구만수2점,인천광역시남동구백범로180번길114,032-473-9282
935,인천남동구서창1점,인천광역시남동구장아산로1301층,032-467-9292
936,인천동구동인천송현점,인천광역시동구화도로15,032-777-9292
937,인천동구송림점,인천동구동산로89,032-763-7979
938,인천부평구갈산점[B],인천부평구굴포로81-1,032-501-7448
939,인천부평구부개점,인천광역시부평구길주남로101번길4-19,032-513-0033
940,인천부평구부일점,인천광역시부평구경인로1092번길17-1,032-362-9944
941,인천부평구부평남부점,인천광역시부평구남부역로3,032-505-9245
942,인천부평구부평롯데점,인천부평구경원대로1367번길12,032-501-9233
943,인천부평구부평중앙점,인천광역시부평구장제로84번길6,032-508-2229
944,인천부평구산곡점,인천부평구화랑남로9번길20,032-524-9990
945,인천부평구삼산1동점,인천부평구대보로24번길12,032-502-4479
946,인천부평구십정점,인천광역시부평구열우물로62-1,032-422-4456
947,인천부평구청천점,인천광역시부평구마장로364번길7-1,032-501-2332
948,인천서구가좌점,인천광역시서구여우재로109,032-578-9942
949,인천서구검암점,인천광역시서구도요지로189번길104,032-567-4479
950,인천서구당하점,인천광역시서구원당대로675,032-566-0041
951,인천서구마전점,인천광역시서구검단로623번길17,032-564-9982
952,인천서구석남점,인천서구면개포로13-1,032-572-5454
953,인천서구신현점[B],인천광역시서구율도로77번길12,032-575-5592
954,인천서구연희점,인천서구승학로199-1,032-566-4450
955,인천서구청라1호점,인천광역시서구청라에메랄드로127,032-572-7000
956,인천연수구동춘점,인천연수구먼우금로83번길49,032-813-3388
957,인천연수구선학점,인천광역시연수구선학로90,032-814-9977
958,인천연수구송도3동점,인천광역시연수구송도문화로28번길28,032-812-2999
959,인천연수구송도신도시점,인천광역시연수구해돋이로107,032-835-7441
960,인천연수구연수2동3동점,인천광역시연수구샘말로87번길1,032-812-4492
961,인천연수구옥련점[B],인천연수구한나루로87주문빌딩301호,032-851-4479
962,인천연수구청학점,인천광역시연수구비류대로239번길25,032-832-4479
963,인천옹진군백령점,인천광역시옹진군백령면백령로272-1,032-836-2200
964,인천중구운서점,인천중구영종대로278번길50,032-747-2255
965,인천중구월미점,인천광역시중구월미로223,032-777-6119
966,인천중구하늘도시점,인천광역시중구하늘달빛로95,032-751-9982
967,전남강진군강진점,전남강진군강진읍중앙로99-3,061-433-9954
968,전남고흥군고흥점,전남고흥군고흥읍봉황길10,061-834-3777
969,전남고흥군녹동점,전라남도고흥군도양읍비봉로129-2,061-844-4492
970,전남광양시광양점,전남광양시광양읍인서4길23,061-761-4492
971,전남광양시광양제철점,전남광양시백운로1638-11,061-799-9292
972,전남광양시광영점,전남광양시금영로181,061-795-4492
973,전남광양시마동점,전남광양시사동로81-1,061-792-8244
974,전남광양시중동점,전남광양시광장로120,061-793-4492
975,전남구례군구례지리산온천점,전남구례군산동면하관1길26,061-782-4479
976,전남나주시나주점,전남나주시나주로81,061-333-4492
977,전남나주시영산포점,전남나주시남교1길6-15,061-333-4447
978,전남목포시삼학점,전남목포시산정로22번길20,061-273-2121
979,전남목포시석현점[B],전남목포시텃골로33번길53,061-284-9942
980,전남목포시연산점,전남목포시연산로159번길22,061-273-4999
981,전남목포시용해점,전남목포시용당로331번길88,061-279-4492
982,전남목포시하당1점,전남목포시백년대로297번길12-2,061-285-9997
983,전남목포시하당2점,전남목포시삼향천로35,061-283-9936
984,전남무안군남악점,전남무안군삼향읍남악2로74번길42상가106호,061-285-9208
985,전남무안군목포대점,전남무안군청계면도림길90,061-452-0792
986,전남무안군무안점,전남무안군무안읍하마로31,061-454-9992
987,전남보성군벌교점,전남보성군벌교읍채동선로259-1,061-857-4492
988,전남보성군보성점,전남보성군보성읍중앙로46-11,061-853-9713
989,전남순천시금당지구점,전남순천시해룡면조례못등길118,061-722-7799
990,전남순천시남제점,전남순천시우석로73-1,061-741-4492
991,전남순천시삼산점,전남순천시중앙로292,061-754-4492
992,전남순천시신대점,전남순천시해룡면좌야로101,061-723-4479
993,전남순천시연향점,전남순천시연향번영4길30,061-722-4492
994,전남순천시왕지점,전남순천시연동남길35,061-727-4492
995,전남순천시조례점,전남순천시비봉길86,061-723-7799
996,전남순천시중앙점,전남순천시장명로10,061-745-9244
997,전남여수시국동점,전남여수시구봉산길15-2,061-642-9282
998,전남여수시둔덕점,전남여수시쌍봉로357,061-653-4479
999,전남여수시무선지구점,전남여수시무선3길6,061-683-9982
1000,전남여수시서교점,전남여수시서교3길3-2,061-642-4492
1001,전남여수시신기점,전남여수시새터로93,061-684-0082
1002,전남여수시안산점,전남여수시도원로186,061-683-4482
1003,전남여수시여서점,전남여수시대치3길13-1,061-651-5673
1004,전남영광군영광점,전남영광군영광읍신남로213-1,061-351-1554
1005,전남영암군삼호점,전남영암군삼호읍대불주거로1길80,061-462-4492
1006,전남완도군완도점,전남완도군완도읍개포로177번길11,061-554-4492
1007,전남장흥군장흥점,전남장흥군장흥읍북부로39,061-864-4479
1008,전남진도군진도점,전남진도군진도읍남문길47,061-542-7557
1009,전남함평군함평점,전남함평군함평읍중앙길172-1,061-324-4492
1010,전남해남군우수영점,전남해남군문내면동영길22-1,061-532-4492
1011,전남해남군해남점,전남해남군해남읍중앙1로167-1,061-537-6692
1012,전남화순군화순점,전남화순군화순읍만연로37,061-375-4492
1013,전북고창군고창점,전북고창군고창읍성산3길3,063-563-4481
1014,전북군산시군산대점,전북군산시미제1길5-4,063-461-4492
1015,전북군산시나운1점,전북군산시신설2길6-4,063-468-4492
1016,전북군산시나운2점,전북군산시나운안2길11,063-466-4479
1017,전북군산시소룡산북점,전북군산시동아로130,063-468-4434
1018,전북군산시수송점,전북군산시수송7길21,063-465-4482
1019,전북군산시오식도점,전북군산시가도로177,063-468-9295
1020,전북군산시옥서점,전북군산시옥서면옥구저수지로217,063-463-4492
1021,전북군산시조촌점,전북군산시진포로169,063-446-4492
1022,전북군산시중앙점,전북군산시중앙로94,063-445-4479
1023,전북김제시김제점,전북김제시동서로232,063-545-4492
1024,전북남원시남원점,전북남원시동충동336번지1층,063-636-4492
1025,전북무주군무주스키점,전북무주군설천면구천동1로6,063-322-4479
1026,전북무주군무주점,전북무주군무주읍단천로84,063-323-4479
1027,전북부안읍부안점,전라북도부안군부안읍수정길5,063-581-4490
1028,전북완주군봉동3공단점,전북완주군봉동읍원둔산3길13,063-261-4492
1029,전북완주군삼례우석대점,전북완주군삼례읍동학로83,063-291-4479
1030,전북완주군혁신점,전북완주군이서면안전로107-3,063-225-4479
1031,전북익산시동산점,전북익산시서동로88,063-843-4492
1032,전북익산시모현점,전북익산시고현로14길8-1,063-852-4492
1033,전북익산시부송점,전북익산시부송로14길21,063-835-4492
1034,전북익산시신동남중점,전북익산시익산대로70길23,063-851-4492
1035,전북익산시영등점,전북익산시고봉로255,063-853-4492
1036,전북익산시함열점,전북익산시함열읍함열중앙로15,063-862-4479
1037,전북전주시덕진전북대점,전북전주시덕진구명륜5길19-6,063-253-4482
1038,전북전주시동산점,전북전주시덕진구쪽구름5길5,063-212-4492
1039,전북전주시삼천점,전북전주시완산구거마남로58,063-224-4452
1040,전북전주시서곡점,전북전주시완산구서곡1길5-12,063-271-4492
1041,전북전주시서신점,전북전주시완산구서신천변11길22,063-272-4492
1042,전북전주시서학중앙점[B],전북전주시완산구서학1길2,063-231-4492
1043,전북전주시송천점,전북전주시덕진구천마산로12,063-255-4492
1044,전북전주시아중점,전북전주시덕진구동가재미3길8,063-242-9225
1045,전북전주시전주대점,전북전주시완산구효자로92,063-236-4492
1046,전북전주시중화산점,전북전주시완산구메너머1길29,063-223-4492
1047,전북전주시진북인후점,전북전주시덕진구팔달로346,063-278-4483
1048,전북전주시평화1점,전북전주시완산구평화17길10,063-228-4492
1049,전북전주시호성점,전북전주시덕진구소리로198,063-247-4492
1050,전북전주시효자점,전북전주시완산구강변로120,063-227-4482
1051,전북정읍시수성점,전북정읍시수성1로55-14,063-537-4479
1052,전북정읍시시기점,전북정읍시천변로350-1,063-532-4492
1053,제주서귀포시강정해군기지점,제주서귀포시강정동2735,064-738-4479
1054,제주서귀포시대정점,제주서귀포시대정읍하모항구로6번길27,064-794-3336
1055,제주서귀포시서귀포1점,제주서귀포시일주동로8600,064-763-4492
1056,제주서귀포시서귀포2호점,제주서귀포시장수로98,064-732-4479
1057,제주서귀포시성산점,제주서귀포시성산읍고성동서로56번길18,064-782-4492
1058,제주서귀포시신시가지점,제주특별자치도서귀포시신북로17,064-739-4401
1059,제주서귀포시중문점,제주서귀포시천제연로191,064-738-7792
1060,제주서귀포시표선점,제주서귀포시표선면표선동서로288,064-787-4492
1061,제주제주시노형점,제주제주시연화로1길24,064-745-4492
1062,제주제주시도남점,제주제주시독짓골4길11,064-752-4492
1063,제주제주시아라점,제주제주시중앙로555,064-726-4479
1064,제주제주시애월점,제주제주시애월읍곽지5길1,064-799-4492
1065,제주제주시연동점,제주제주시삼무로82,064-749-4492
1066,제주제주시외도점,제주제주시일주서로7312,064-747-4490
1067,제주제주시용담점,제주제주시용문로157,064-713-4482
1068,제주제주시일도점,제주특별자치도제주시청귤로3길51,064-727-4492
1069,제주제주시조천함덕점,제주제주시조천읍함덕16길7,064-784-9945
1070,제주제주시한림점,제주제주시한림읍한림중앙로46,064-796-4452
1071,제주제주시화북삼양점,제주제주시진남로6길9,064-724-4492
1072,충남계룡시계룡점,충청남도계룡시엄사면번영로74,042-840-7772
1073,충남공주시금학점,충청남도공주시우금티로547,041-858-4479
1074,충남공주시신관점,충남공주시번영1로97-12,041-881-9285
1075,충남금산군금산점,충청남도금산군금산읍금산로1491,041-753-4949
1076,충남논산시논산1점,충남논산시시민로258번길7,041-736-9285
1077,충남논산시논산항공학교,충청남도논산시노성면송당리5,-
1078,충남논산시연무점,충청남도논산시연무읍연무로183,041-742-9285
1079,충남당진군당진점,충청남도당진시교동길153,041-355-7933
1080,충남당진군합덕점,충청남도당진시합덕읍중동1길40,041-363-9282
1081,충남당진시당진2점,충청남도당진시원당로45,041-356-4479
1082,충남당진시석문점,충청남도당진시석문면대호만로1748,041-356-4566
1083,충남당진시송악점,충청남도당진시송악읍도고머리길12,041-353-0852
1084,충남보령시대천점,충청남도보령시대천로74,041-934-9285
1085,충남보령시대천해수욕장점,충청남도보령시해수욕장10길6,041-935-8292
1086,충남보령시무창포해수욕장점,충남보령시웅천읍열린바다로342,041-936-4479
1087,충남부여군부여점,충남부여군부여읍사비로72번길18,041-833-9285
1088,충남서산시동문점,충남서산시안견로214-5,041-681-9285
1089,충남서산시성연점,충남서산시성연면성연3로35,041-669-5670
1090,충남서산시읍내점,충청남도서산시부춘1로24-5,041-665-4479
1091,충남서천군서면점,충청남도서천군서면공암남촌길169,041-951-4456
1092,충남서천군서천점,충청남도서천군서천읍서천로94,041-953-6799
1093,충남아산시배방점,충청남도아산시배방읍배방로173번길14-7,041-534-9285
1094,충남아산시신창점,충청남도아산시서부북로953,041-543-8292
1095,충남아산시영인점,충남아산시영인면영인로84-1,041-549-9289
1096,충남아산시온천점,충청남도아산시번영로147-1,041-534-9969
1097,충남아산시용화점,충청남도아산시시민로258번길3-5,041-547-9285
1098,충남아산시음봉점,충청남도아산시음봉면음봉로841,041-541-4479
1099,충남아산시장재점,충청남도아산시배방읍새아산로20-8,041-534-4479
1100,충남아산시장존점,충청남도아산시외암로1245,041-547-4479
1101,충남연기군조치원점,세종특별자치시조치원읍신흥샛터길41,044-862-9285
1102,충남예산군삽교점,충청남도예산군삽교읍삽교로76,041-337-2121
1103,충남예산군예산점,충청남도예산군예산읍역전로113,041-333-9285
1104,충남천안시구성점,충청남도천안시동남구삼룡천2길9,041-556-9285
1105,충남천안시두정1점,충청남도천안시서북구부성1길40-6,041-558-9285
1106,충남천안시두정대아점,충남천안시서북구두정중11길22,041-561-9285
1107,충남천안시목천신계점,충청남도천안시동남구목천읍목천안터1길4,041-522-4479
1108,충남천안시병천북면점,충청남도천안시동남구충절로1456,041-568-9285
1109,충남천안시불당점,충청남도천안시서북구불당7길33,041-552-9285
1110,충남천안시성환점,충청남도천안시서북구성환읍신선동길20,041-588-9286
1111,충남천안시신방1점,충청남도천안시동남구새말4길5,041-573-9285
1112,충남천안시신방초원점,충청남도천안시동남구수곡로22,041-575-4479
1113,충남천안시신방통정점,충청남도천안시동남구풍세로809,041-577-4479
1114,충남천안시신부점,충청남도천안시동남구천안천8길53-1,041-555-4482
1115,충남천안시쌍봉점,충청남도천안시서북구봉서5길17,041-572-4479
1116,충남천안시쌍용1점,충청남도천안시서북구쌍용9길10-1,041-575-9285
1117,충남천안시안서점,충청남도천안시동남구중암샛길13,041-555-4479
1118,충남천안시입장점,충청남도천안시서북구입장면입장로135,041-585-4479
1119,충남천안시직산점,충청남도천안시서북구직산읍아랫말2길9,041-585-2662
1120,충남천안시풍세점,충청남도천안시동남구풍세면풍년길46-1,041-555-4546
1121,충남태안군안면점,충청남도태안군안면읍장터로99-3,041-673-9333
1122,충남태안군태안1점,충청남도태안군태안읍군청10길12,041-672-4482
1123,충남홍성군내포신도시점,충청남도홍성군홍북면의향로289번길에이원프라자105호,041-632-4479
1124,충남홍성군홍성점,충청남도홍성군홍성읍문화로110,041-633-9285
1125,충북괴산군괴산점,충북괴산군괴산읍읍내로13길17,043-834-4492
1126,충북단양군단양점,충북단양군단양읍도전4길21,043-423-4482
1127,충북단양군매포읍점,충북단양군매포읍단양로1922,043-423-4479
1128,충북보은군보은점,충북보은군보은읍삼산로33,043-544-1223
1129,충북영동군영동점,충청북도영동군영동읍학산영동로1143,043-745-4479
1130,충북옥천군옥천점,충청북도옥천군옥천읍성신로48,043-733-4492
1131,충북음성군금왕점[B],충북음성군금왕읍무극로324번길19,043-883-8857
1132,충북음성군대소점,충북음성군대소면오태로137번길23,043-882-4482
1133,충북음성군맹동점,충북음성군맹동면덕금로409번길4,043-878-9917
1134,충북음성군맹동혁신도시점,충북음성군맹동면대하로273지음프라자2차107,043-883-4479
1135,충북음성군삼성점[B],충북음성군삼성면덕정로48,043-881-4479
1136,충북음성군생극점,충청북도음성군생극면음성로1639-1,043-881-8880
1137,충북음성군음성점,충북음성군음성읍시장로78,043-873-9282
1138,충북제천시강제점,충북제천시청풍호로7안길3-1,043-645-4479
1139,충북제천시신백점,충북제천시신백로14길12,043-653-1113
1140,충북제천시제천1점,충북제천시숭문로100,043-643-0114
1141,충북제천시청전점,충북제천시의림대로31길22,043-647-4479
1142,충북증평군증평점,충북증평군증평읍충청대로1758,043-838-4482
1143,충북진천군광혜원점[B],충북진천군광혜원면화랑1길7,043-532-4479
1144,충북진천군덕산점[B],충북진천군덕산면용몽2길17-5,043-532-7222
1145,충북진천군진천점,충북진천군진천읍중앙서로90,043-534-9282
1146,충북청원군강내점,충청북도청주시흥덕구강내면월곡길16,043-237-8292
1147,충북청원군내수점,충청북도청주시청원구내수읍은곡묵방길52-10,043-213-0100
1148,충북청원군오송점,충청북도청주시흥덕구오송읍연제길7,043-234-4477
1149,충북청원군오창점,충북청주시청원구오창읍연구단지로21,043-216-4492
1150,충북청주시가경1점,충청북도청주시흥덕구풍년로111번길22-5,043-233-9888
1151,충북청주시강서가경2점[B],충청북도청주시흥덕구서현북로58,043-236-7282
1152,충북청주시개신점,충청북도청주시서원구신율로61,043-267-2008
1153,충북청주시광장점,충청북도청주시상당구산성로112번길18,043-284-9945
1154,충북청주시봉명점,충청북도청주시흥덕구백봉로172,043-264-9285
1155,충북청주시분평점[B],충청북도청주시서원구1순환로1109,043-295-4479
1156,충북청주시사직점,충청북도청주시서원구호국로16,043-273-9992
1157,충북청주시사천점,충청북도청주시청원구새터로187,043-215-7007
1158,충북청주시산남3지구성화점,충청북도청주시서원구원흥로14,043-292-4479
1159,충북청주시산남점,충북청주시서원구수곡로57번길17,043-288-9970
1160,충북청주시용암2점,충청북도청주시상당구중고개로240번길3,043-295-8888
1161,충북청주시용암점,충청북도청주시상당구낙영로4번길18,043-296-1515
1162,충북청주시율량2지구점,충북청주시청원구율량로135,043-214-4479
1163,충북청주시율량점,충청북도청주시청원구공항로112번길34,043-212-4334
1164,충북청주시청대점,충북청주시청원구상당로232번길32,043-223-9285
1165,충북청주시하복대점,충청북도청주시흥덕구진재로27번길36-6,043-233-9998
1166,충북충주시건대점,충북충주시충열4길6,043-856-1577
1167,충북충주시대소원면점,충북충주시대소원면새터1길9,043-854-3399
1168,충북충주시목행동량점,충북충주시행정9길32,043-845-4479
1169,충북충주시수안보점,충북충주시수안보면온천중앙길32,043-844-4492
1170,충북충주시신니면점,충북충주시신니면덕고개로4,043-851-4479
1171,충북충주시충주1점,충북충주시금제6길1,043-856-9929
1172,충북충주시충주2점,충북충주시형설로110-1,043-854-8577
1173,충북충주시충주3점,충북충주시중원대로3393,043-856-1588
1174,충북충주시칠금점,충북충주시우륵로10,043-855-4492
1175,충북충주시한국교통대점,충북충주시대소원면대학로28,043-855-7774
